Task;Bucket;Details
Identificar Stakeholders;Levantamento de Requisitos;Identificar os stakeholders chave.
Realizar Reuniões de Requisitos;Levantamento de Requisitos;Realizar reuniões para entender os requisitos do negócio.
Documentar Requisitos Funcionais;Levantamento de Requisitos;Documentar os requisitos funcionais.
Documentar Requisitos Não Funcionais;Levantamento de Requisitos;Documentar os requisitos não funcionais.
Aprovar Requisitos Documentados;Levantamento de Requisitos;Obter aprovações dos requisitos documentados.
Inventariar Conteúdo Atual;Avaliação de Conteúdo;Inventariar o conteúdo atual do SharePoint Server.
Categorizar Conteúdo;Avaliação de Conteúdo;Categorizar o conteúdo em relevantes e obsoletos.
Determinar Tamanho dos Dados;Avaliação de Conteúdo;Determinar o tamanho e complexidade dos dados a serem migrados.
Desenvolver Relatórios de Avaliação;Avaliação de Conteúdo;Desenvolver relatórios de avaliação de conteúdo.
Identificar Scripts Customizados;Identificação de Personalizações;Identificar scripts customizados no SharePoint Server.
Mapear Workflows Personalizados;Identificação de Personalizações;Mapear workflows personalizados.
Documentar Webparts Customizadas;Identificação de Personalizações;Documentar webparts customizadas.
Gerar Relatório de Personalizações;Identificação de Personalizações;Gerar relatório das personalizações identificadas.
Inventariar Permissões Atuais;Avaliação de Permissões;Inventariar as permissões atuais no SharePoint Server.
Mapear Permissões para Online;Avaliação de Permissões;Mapear as permissões para o SharePoint Online.
Documentar Alterações de Permissões;Avaliação de Permissões;Documentar alterações de permissões necessárias.
Desenvolver Relatório de Permissões;Avaliação de Permissões;Desenvolver relatório de permissões.
Definir Abordagem de Migração;Desenvolvimento de Estratégia de Migração;Definir a abordagem de migração (big bang ou incremental).
Elaborar Plano de Migração;Desenvolvimento de Estratégia de Migração;Elaborar plano detalhado de migração.
Identificar Ferramentas de Migração;Desenvolvimento de Estratégia de Migração;Identificar ferramentas de migração adequadas.
Documentar Estratégia de Fallback;Desenvolvimento de Estratégia de Migração;Documentar estratégia de fallback.
Criar Estrutura de Sites;Configuração do Ambiente do SharePoint Online;Criar estrutura de sites no SharePoint Online.
Configurar Bibliotecas de Documentos;Configuração do Ambiente do SharePoint Online;Configurar bibliotecas de documentos.
Configurar Listas e Aplicativos;Configuração do Ambiente do SharePoint Online;Configurar listas e aplicativos necessários.
Configurar Permissões Básicas;Configuração do Ambiente do SharePoint Online;Configurar permissões básicas.
Configurar Grupos de Segurança;Configuração de Permissões no SharePoint Online;Configurar grupos de segurança.
Atribuir Permissões aos Grupos;Configuração de Permissões no SharePoint Online;Atribuir permissões aos grupos configurados.
Validar Configurações de Permissão;Configuração de Permissões no SharePoint Online;Validar configurações de permissão.
Documentar Configurações de Permissão;Configuração de Permissões no SharePoint Online;Documentar configurações de permissão.
Limpar Dados Obsoletos;Preparação dos Dados;Limpar dados obsoletos.
Realizar Backup dos Dados;Preparação dos Dados;Realizar backup dos dados.
