Task;Bucket;Details
Executar avaliação de locatário;Preparação;Execute o script de avaliação tenant.
Gerar mapeamento de usuários;Preparação;Use as informações do script de avaliação de locatário para gerar um arquivo de mapeamento de usuário. Mapeie todos os usuários para os nomes de usuário de destino, etc. Marque claramente os usuários fora do escopo.
Validar dependências do aplicativo;Preparação;Valide as integrações de aplicativos do locatário de origem e garanta que elas sejam consideradas no design da migração.
Criar runbook;Preparação;Crie o runbook passo a passo que abrange atividades e proprietários para todas as tarefas de migração. Isso também pode ser adicionado a este plano, se necessário.
Identificar as partes interessadas;Preparação;Identifique as partes interessadas na migração, tanto na organização de origem quanto na de destino. Todas as partes interessadas na migração devem ser mantidas atualizadas em cada fase do projeto.
Adquirir licenciamento de ferramenta de migração;Preparação;Obtenha licenciamento para quaisquer ferramentas de migração necessárias. Certifique-se de que haja licenças adicionais para cobrir testes e novos usuários.
Certifique-se de que o licenciamento Microsoft suficiente esteja disponível;Preparação;Certifique-se de que foi adquirido licenciamento suficiente do Microsoft 365 para o locatário de destino. Haverá um período em que os usuários serão licenciados em ambos os locatários – leve isso em consideração.
Validar o acesso aos provedores de DNS;Preparação;Valide se os recursos técnicos têm acesso a portais DNS públicos, conforme necessário para publicar e atualizar o DNS público. `nSe não estiver disponível, um delegado do grupo responsável deverá ser disponibilizado para a transição da migração.
Rascunho de comunicações do usuário;Preparação;Certifique-se de que comunicações e materiais suficientes tenham sido criados e aprovados para distribuição aos usuários. Deve conter uma explicação amigável sobre o que esperar e o que se espera de cada usuário para minimizar confusão.
Finalizar o escopo da migração;Preparação;Finalize, concorde e bloqueie o escopo da migração antes da migração. Adicionar usuários ou objetos adicionais a uma migração tardiamente apresenta riscos.
Provisione todos os usuários e grupos no escopo;Provisionamento;Provisione os usuários e grupos, etc., que estão no escopo da migração na locação de destino (ou no domínio do Active Directory, conforme apropriado)
Provisionar o OneDrive para usuários de migração;Provisionamento;Certifique-se de que os sites do OneDrive sejam provisionados para todos os usuários migratórios no locatário de destino.
Provisionar sites e equipes do SharePoint;Provisionamento;Certifique-se de que os sites e equipes do SharePoint Online sejam provisionados para todos os objetos de migração no locatário de destino.
Sincronizar dados de e-mail em massa;Provisionamento;Execute uma sincronização inicial dos dados de e-mail e remedie os problemas conforme necessário.
Sincronizar dados em massa do OneDrive;Provisionamento;Execute uma sincronização inicial dos dados do OneDrive e remedie os problemas conforme necessário.
Sincronizar dados do SharePoint em massa;Provisionamento;Execute uma sincronização inicial dos dados do SharePoint e remedie os problemas conforme necessário.
Sincronizar dados de equipes em massa;Provisionamento;Execute uma sincronização inicial dos dados do Teams e remedie os problemas conforme necessário.
Sincronizar dados de grupos do Microsoft 365 em massa;Provisionamento;Execute uma sincronização inicial dos dados do Grupos e remedie os problemas conforme necessário.
Atualizar registros DNS públicos;Cutover;Atualize os registros DNS públicos para redirecionar as mensagens para um local de retenção temporário, se aplicável.
Pausar fluxo de e-mail;Cutover;Pause o fluxo de mensagens no local de retenção, se aplicável.
Remover contatos de e-mail e convidados duplicados;Cutover;Remova quaisquer contactos duplicados ou utilizadores convidados do inquilino alvo para evitar conflitos com as novas contas de utilizador.
Inicializar e-mail final, Contatos, sincronização de calendário;Cutover;Inicie e confirme a conclusão da sincronização final de e-mails, contatos e calendários.
Inicialize a sincronização final do OneDrive;Cutover;Inicie e confirme a conclusão da sincronização final do OneDrive.
Inicialize a sincronização final do Teams Chat;Cutover;Inicie e confirme a conclusão da sincronização final do Teams Chats.
Inicialize a sincronização final do Teams;Cutover;Inicie e confirme a conclusão da sincronização final do Teams.
Inicialize a sincronização final do SharePoint;Cutover;Inicie e confirme a conclusão da sincronização finalSharePoint.
Inicializar a migração da reunião;Cutover;Inicie e confirme a conclusão da reescrita da reunião do Teams.
Remover domínios públicos da fonte;Cutover;Remova os domínios públicos dos usuários/grupos de locatários de origem e libere o locatário do domínio
Adicionar domínios públicos à segmentação;Cutover;Adicione e verifique os domínios públicos ao locatário de destino. Configure o roteamento de correio conforme necessário.
Atualizar endereços de e-mail e endereços de alias;Cutover;Atualize nomes de usuário e endereços de e-mail de objetos migrados conforme descrito no mapeamento de usuários. `nCertifique-se de que TODOS os endereços de e-mail sejam contabilizados, a menos que estejam explicitamente fora do escopo.
Validar entrega de correio;Cutover;Valide a entrega de e-mails liberando e-mails da retenção. Confirme se os e-mails são entregues nos locais apropriados por meio do rastreamento de mensagens.
Retomar fluxo de e-mail;Cutover;Libere a retenção de e-mail e quaisquer mensagens retidas restantes. Confirme a entrega por meio de rastreamento de mensagem,
Empacotar e enviar relatórios de migração;Pós-Migração;Forneça um relatório de migração completo para confirmar que não há problemas com a migração de dados ou com as medidas técnicas tomadas.
Fornecer suporte no início da vida para usuários finais;Pós-Migração;Garanta que os recursos de suporte estejam disponíveis para os usuários finais após a migração para resolver quaisquer problemas.
Transferência para suporte BAU;Pós-Migração;Fornecer transferência completa para o suporte BAU dos usuários migrados, garantindo que a organização de serviço/suporte esteja equipada com todo o conhecimento e documentação necessários.
Projeto encerrado e lições aprendidas;Pós-Migração;Conduza lições formais aprendidas e encerramento do projeto para identificar o que funcionou bem e o que pode ser melhorado. Encerre formalmente o projeto.
